,appid,app_class
3628,18302,j
3629,8830,p
3630,20861,
3631,827,
3632,3565,j
3633,22756,
3634,18328,
3635,640,t
3636,22752,
3637,16955,
3638,22222,
3639,11232,h
3640,22801,
3641,18617,
3642,16114,p
3643,21505,j
3644,18099,
3645,14803,
3646,3434,
3647,19940,
3648,11376,
3649,11777,
3650,16427,
3651,3821,
3652,4743,
3653,1363,
3654,3507,
3655,7040,t
3656,17889,t
3657,22856,
3658,8267,
3659,17426,
3660,9384,
3661,10055,
3662,20606,
3663,5448,
3664,18226,
3665,22489,g
3666,21396,
3667,11634,t
3668,13614,t
3669,11624,
3670,2825,
3671,16138,g
3672,17720,
3673,13329,
3674,17165,
3675,10628,t
3676,20031,
3677,6059,
3678,15603,t
3679,15775,t
3680,23169,
3681,16826,
3682,8146,
3683,2806,
3684,15453,
3685,8529,
3686,11270,
3687,16127,b
3688,7268,b
3689,3523,
3690,10554,
3691,854,
3692,5359,t
3693,3377,
3694,13980,q
3695,9808,
3696,13805,
3697,14435,
3698,4328,
3699,14969,
3700,18821,n
3701,15253,j
3702,15012,s
3703,17649,
3704,17492,
3705,10424,
3706,15304,
3707,735,
3708,6950,
3709,6330,t
3710,772,
3711,8828,t
3712,17077,
3713,17586,
3714,7271,
3715,18743,m
3716,2644,o
3717,21525,q
3718,1043,
3719,23521,
3720,1092,f
3721,23285,
3722,23354,
3723,7998,
3724,8692,
3725,7344,
3726,18810,
3727,18414,
3728,13298,
3729,12505,
3730,3651,
3731,18804,l
3732,7357,
3733,2365,s
3734,15877,t
3735,6971,
3736,8027,
3737,17804,j
3738,3934,
3739,17939,q
3740,22797,
3741,8239,
3742,13617,c
3743,15631,
3744,13900,
3745,6179,g
3746,13753,
3747,740,
3748,15479,t
3749,15146,
3750,9361,
3751,11686,
3752,11442,p
3753,21449,
3754,18219,
3755,21467,
3756,11864,
3757,3421,m
3758,19909,r
3759,14090,
3760,8668,
3761,4634,
3762,22678,f
3763,22769,
3764,5299,
3765,1280,
3766,3646,
3767,6891,
3768,2228,
3769,21040,t
3770,3913,
3771,5194,g
3772,12716,
3773,11286,
3774,21006,
3775,22713,
3776,22085,t
3777,17362,
3778,10239,g
3779,8174,
3780,65,
3781,13719,
3782,2402,
3783,7666,
3784,11429,
3785,22608,
3786,13659,
3787,14651,
3788,17800,d
3789,8922,d
3790,22181,
3791,16592,t
3792,5433,
3793,9727,
3794,951,i
3795,19718,
3796,19616,
3797,12993,n
3798,10587,
3799,20620,
3800,21011,
3801,11220,
3802,6859,
3803,665,g
3804,17260,
3805,12649,
3806,14057,
3807,10111,a
3808,16418,
3809,23524,l
3810,9633,
3811,3814,
3812,19879,i
3813,6128,r
3814,23486,
3815,826,q
3816,6167,i
3817,22776,
3818,9399,p
3819,19631,
3820,9726,
3821,3748,
3822,16561,
3823,7837,t
3824,20308,
3825,19517,
3826,6470,
3827,20041,
3828,15123,
3829,4789,
3830,11026,l
3831,14135,
3832,7849,
3833,22407,t
3834,5586,b
3835,18970,b
3836,17880,c
3837,8155,
3838,11457,
3839,247,a
3840,12655,
3841,9953,
3842,13956,
3843,4779,
3844,10973,i
3845,12520,t
3846,14763,f
3847,4008,
3848,21639,
3849,11760,f
3850,11186,
3851,14058,
3852,1169,t
3853,17128,
3854,11341,
3855,22905,
3856,12489,
3857,551,
3858,7834,
3859,18071,a
3860,13353,
3861,19785,
3862,14096,
3863,20161,
3864,6744,
3865,21682,
3866,16358,
3867,13460,
3868,10342,
3869,2798,
3870,23616,
3871,22941,t
3872,21254,
3873,12480,i
3874,17536,
3875,10738,
3876,1290,
3877,173,t
3878,168,
3879,6035,i
3880,4755,
3881,3985,
3882,7785,
3883,6279,m
3884,691,
3885,13311,
3886,22716,n
3887,5913,
3888,2659,
3889,12020,t
3890,15798,
3891,3510,
3892,3173,
3893,21692,t
3894,14957,q
3895,18974,d
3896,22365,
3897,5792,f
3898,3472,
3899,21758,e
3900,2065,t
3901,22483,t
3902,17820,q
3903,18275,
3904,21680,
3905,8118,
3906,23082,
3907,15531,
3908,14251,f
3909,1720,
3910,10326,
3911,14130,
3912,13116,
3913,16303,
3914,12478,
3915,16107,
3916,2395,
3917,20660,
3918,18417,
3919,14622,
3920,9166,t
3921,9947,
3922,13778,
3923,7377,
3924,20088,
3925,12542,
3926,9497,g
3927,11263,s
3928,11385,c
3929,9729,
3930,1599,g
3931,18335,
3932,22096,t
3933,12978,s
3934,1315,
3935,10691,
3936,2209,
3937,12194,
3938,8313,
3939,8732,
3940,3119,
3941,21201,t
3942,5735,g
3943,962,
3944,19126,
3945,8144,
3946,2834,i
3947,5789,
3948,23115,
3949,3124,
3950,3682,
3951,20864,g
3952,18382,
3953,14552,
3954,4534,g
3955,2769,
3956,9893,
3957,1537,
3958,10969,
3959,3311,
3960,13064,t
3961,10426,
3962,9855,
3963,16434,e
3964,17437,
3965,20971,d
3966,16186,
3967,13556,
3968,859,
3969,14526,
3970,15410,t
3971,21267,n
3972,8260,e
3973,18217,
3974,20108,
3975,6569,
3976,15963,
3977,20572,
3978,17904,
3979,8190,
3980,4704,
3981,12492,
3982,15909,
3983,11180,l
3984,8483,
3985,410,
3986,17360,
3987,7337,
3988,9587,t
3989,17933,
3990,15813,
3991,17762,h
3992,16432,
3993,728,
3994,12701,c
3995,16471,j
3996,21339,
3997,8092,
3998,10529,
3999,14845,f
4000,13510,q
4001,7925,h
4002,16444,
4003,13872,
4004,22548,
4005,11903,
4006,4174,
4007,21462,
4008,6177,
4009,8393,
4010,8108,h
4011,10128,
4012,20829,
4013,2420,
4014,16810,
4015,13629,g
4016,8985,
4017,23170,
4018,9972,
4019,9407,
4020,887,
4021,21795,t
4022,9649,o
4023,9039,
4024,14009,t
4025,13623,
4026,12067,
4027,15473,
4028,12210,c
4029,1441,b
4030,15808,
4031,14263,
4032,12370,
4033,7185,m
4034,6631,
4035,7846,t
4036,11317,
4037,8990,
4038,9435,
4039,16197,
4040,8388,
4041,21672,
4042,13889,
4043,7390,
4044,14676,
4045,11923,
4046,11637,
4047,9136,
4048,18934,
4049,7558,
4050,16827,
4051,17760,
4052,6514,t
4053,9862,
4054,11489,
4055,11698,t
4056,19697,
4057,4284,t
4058,17751,
4059,21405,m
4060,1649,
4061,16397,t
4062,19519,p
4063,16918,
4064,1325,t
4065,16638,g
4066,21766,
4067,16037,
4068,8043,
4069,18594,
4070,9190,
4071,22944,
4072,12088,
4073,22850,
4074,1252,
4075,20441,
4076,13306,t
4077,1711,
4078,23496,
4079,6163,t
4080,23088,
4081,17768,
4082,10209,
4083,22064,
4084,4444,
4085,1944,t
4086,16648,g
4087,20320,
4088,3003,m
4089,845,t
4090,14400,t
4091,20065,i
4092,15116,r
4093,697,e
4094,21963,m
4095,2470,
4096,9834,
4097,6120,c
4098,14734,
4099,7778,
4100,17967,
4101,14439,c
4102,10688,
4103,21407,
4104,11421,k
4105,4834,
4106,19745,
4107,20395,
4108,18010,t
4109,261,g
4110,16437,
4111,10234,c
4112,4754,
4113,4985,a
4114,7208,
4115,19903,
4116,16398,q
4117,16898,
4118,2539,
4119,19066,t
4120,20909,
4121,2880,
4122,16967,
4123,4517,t
4124,4729,
4125,21425,
4126,11474,
4127,3965,t
4128,20190,
4129,13185,
4130,14425,
4131,14680,s
4132,22527,
4133,3640,
4134,770,
4135,12139,
4136,11992,
4137,664,
4138,22470,
4139,18486,
4140,23420,
4141,6508,
4142,11800,
4143,10742,t
4144,2588,
4145,18,o
4146,17861,
4147,17185,
4148,6578,m
4149,21281,
4150,11617,t
4151,11363,
4152,14212,t
4153,8645,t
4154,6231,
4155,3993,
4156,21817,b
4157,8599,
4158,3050,
4159,21158,
4160,3257,j
4161,717,n
4162,5614,
4163,16271,
4164,340,t
4165,10087,
4166,18169,q
4167,9311,
4168,13937,i
4169,1406,q
4170,11469,
4171,9592,
4172,15839,
4173,23350,b
4174,11265,
4175,13692,t
4176,23060,g
4177,23227,
4178,15605,
4179,6921,
4180,14716,s
4181,14749,i
4182,5608,
4183,1895,
4184,2180,
4185,14908,
4186,15019,
4187,8434,
4188,10509,
4189,5159,
4190,22055,
4191,18194,
4192,18213,
4193,7572,
4194,22895,f
4195,4577,
4196,16697,
4197,12567,
4198,19405,n
4199,13408,e
4200,3171,
4201,11016,t
4202,1607,
4203,2814,
4204,19157,
4205,7437,
4206,5235,
4207,2439,b
4208,23600,
4209,3612,
4210,22900,
4211,22297,
4212,4954,
4213,21345,
4214,19923,t
4215,21790,
4216,14063,
4217,2417,t
4218,23050,
4219,21500,g
4220,1747,
4221,5083,f
4222,15407,g
4223,17413,
4224,1316,
4225,6594,
4226,11564,
4227,11130,
4228,20781,
4229,5166,
4230,18763,
4231,10274,
4232,6614,l
4233,4770,
4234,4399,
4235,18455,
4236,13954,
4237,12589,r
4238,17538,
4239,21398,
4240,9229,h
4241,17102,s
4242,13093,
4243,22815,
4244,5213,k
4245,15863,
4246,7987,
4247,18718,c
4248,17067,
4249,12752,
4250,7784,s
4251,6563,
4252,11249,
4253,2597,
4254,11211,
4255,11940,
4256,17592,
4257,16938,
4258,21860,t
4259,14719,
4260,5406,d
4261,9562,h
4262,16029,t
4263,20855,t
4264,18668,
4265,7152,l
4266,8634,b
4267,19807,
4268,13040,
4269,5645,
4270,10943,
4271,5522,
4272,16528,
4273,17902,
4274,2925,
4275,11125,
4276,17981,
4277,7709,n
4278,22986,t
4279,1200,
4280,670,
4281,20595,g
4282,10600,
4283,6650,n
4284,20064,
4285,17719,
4286,9074,
4287,23018,
4288,18554,t
4289,20740,
4290,22997,
4291,18765,a
4292,12982,
4293,5542,c
4294,6158,
4295,8892,
4296,3706,
4297,10645,
4298,14146,
4299,15865,
4300,4734,
4301,19827,
4302,192,
4303,18053,
4304,11034,
4305,562,
4306,13677,
4307,19577,r
4308,20457,
4309,7261,t
4310,15413,
4311,18461,j
4312,11736,
4313,23499,
4314,15956,
4315,4636,
4316,1891,
4317,13165,b
4318,19974,
4319,21451,
4320,16172,
4321,17846,
4322,17353,
4323,11136,
4324,9705,
4325,15747,
4326,1894,j
4327,2247,
4328,11177,t
4329,6218,
4330,4338,
4331,13735,
4332,12932,t
4333,19011,t
4334,18925,m
4335,2760,
4336,9524,d
4337,17230,
4338,16281,
4339,5941,o
4340,7713,
4341,7309,
4342,22321,
4343,392,
4344,21137,
4345,11182,
4346,6026,
4347,20822,
4348,141,t
4349,21654,d
4350,474,
4351,174,
4352,1632,s
4353,1522,
4354,9849,
4355,639,
4356,22109,
4357,6314,
4358,634,t
4359,11096,
4360,22253,
4361,21647,
4362,2863,
4363,21298,
4364,15874,
4365,22542,
4366,7201,
4367,6743,g
4368,21112,
4369,16346,t
4370,20270,
4371,20121,
4372,3064,
4373,23236,
4374,8593,
4375,16703,
4376,10004,g
4377,12444,g
4378,9782,
4379,7445,
4380,17683,
4381,20197,
4382,23529,
4383,18369,
4384,1694,
4385,19806,
4386,14575,
4387,11213,
4388,13860,
4389,20333,
4390,18780,
4391,11049,a
4392,6993,t
4393,16415,
4394,1113,
4395,17934,
4396,22805,
4397,11503,t
4398,15427,
4399,19086,t
4400,21852,
4401,11943,
4402,9460,
4403,7436,
4404,21596,t
4405,15540,
4406,20158,
4407,6762,
4408,19281,
4409,21031,
4410,6561,
4411,15945,
4412,9171,t
4413,21771,
4414,20488,i
4415,5290,g
4416,1612,
4417,3917,
4418,6932,
4419,3542,
4420,19873,o
4421,8933,
4422,16077,
4423,3796,
4424,6654,
4425,2960,
4426,14339,
4427,10527,
4428,7905,
4429,2884,t
4430,15539,
4431,8577,
4432,19609,
4433,9354,
4434,6781,t
4435,3141,q
4436,15474,c
4437,3509,t
4438,3509,t
4439,8675,t
4440,15300,t
4441,7740,
4442,14790,
4443,15415,
4444,17795,
4445,1188,
4446,23473,t
4447,12517,
4448,7495,o
4449,7827,
4450,3974,t
4451,16698,g
4452,16559,e
4453,3080,g
4454,15433,
4455,23541,
4456,17434,
4457,18607,
4458,8868,n
4459,19468,
4460,18859,
4461,1719,
4462,9820,
4463,22384,
4464,726,
4465,9187,b
4466,14654,g
4467,21987,
4468,9486,
4469,19580,
4470,1838,g
4471,8246,
4472,1960,t
4473,14953,
4474,1060,
4475,13967,
4476,12853,
4477,22949,
4478,12554,
4479,5149,
4480,15110,
4481,9528,
4482,13643,
4483,21514,
4484,59,
4485,3755,
4486,22910,
4487,17447,t
4488,10094,
4489,20250,
4490,16538,e
4491,14442,
4492,7485,
4493,13524,t
4494,21089,
4495,13041,
4496,22443,
4497,12007,
4498,4671,
4499,4963,
4500,2039,r
4501,12219,
4502,13038,
4503,1686,
4504,7046,
4505,14958,
4506,13193,a
4507,6294,c
4508,6274,
4509,8798,k
4510,20798,t
4511,10148,
4512,4109,
4513,3243,
4514,21010,
4515,2174,s
4516,4031,
4517,12591,
4518,3869,
4519,12167,d
4520,573,d
4521,18730,t
4522,22167,m
4523,16203,f
4524,1519,
4525,13626,
4526,11084,
4527,11793,
4528,16136,
4529,4282,
4530,18287,b
4531,3241,
4532,3047,
4533,21016,
4534,15519,
4535,20183,
4536,9198,g
4537,15036,
4538,12639,
4539,11854,b
4540,23094,
4541,12109,t
4542,6970,
4543,21751,q
4544,14586,t
4545,18887,
4546,10591,
4547,20730,
4548,7307,
4549,2335,
4550,4411,
4551,8394,
4552,23052,i
4553,21868,
4554,671,
4555,22982,
4556,23565,
4557,5215,i
4558,23152,
4559,23342,
4560,20298,
4561,8006,
4562,14559,g
4563,3591,f
4564,16847,
4565,14027,
4566,11310,
4567,18620,t
4568,44,
4569,16466,
4570,9980,m
4571,22182,
4572,1462,
4573,5540,
4574,11829,
4575,16338,
4576,2092,q
4577,4118,e
4578,19821,
4579,10938,
4580,17073,
4581,20134,
4582,10405,
4583,15009,f
4584,20057,
4585,7967,
4586,16852,
4587,15507,
4588,3048,
4589,9993,h
4590,17209,
4591,18444,s
4592,554,
4593,1996,t
4594,14560,
4595,18666,
4596,19133,
4597,7502,
4598,7530,
4599,11262,
4600,5271,
4601,10839,
4602,21738,
4603,9197,
4604,8442,
4605,15461,
4606,14818,
4607,4808,
4608,19437,
4609,10993,
4610,15524,
4611,21815,
4612,15158,c
4613,753,q
4614,7311,
4615,2198,n
4616,12042,
4617,19534,t
4618,4337,
4619,20628,i
4620,10914,
4621,9646,
4622,10789,
4623,5107,
4624,12018,
4625,18781,
4626,1741,
4627,12656,
4628,8708,t
4629,20643,
4630,4140,
4631,15549,
4632,6926,
4633,17788,
4634,3873,
4635,781,
4636,11773,
4637,20645,
4638,243,
4639,12929,
4640,2379,
4641,12625,
4642,18111,t
4643,6029,
4644,7388,
4645,20253,
4646,3547,
4647,5471,
4648,16,t
4649,7228,
4650,21974,
4651,2022,
4652,2204,
4653,10784,
4654,6180,b
4655,17141,
4656,20860,i
4657,19736,
4658,13649,g
4659,11998,
4660,3195,k
4661,21274,t
4662,13748,n
4663,2215,
4664,86,
4665,20442,
4666,14672,e
4667,12644,
4668,4912,g
4669,13120,
4670,8733,
4671,3336,
4672,18803,
4673,2398,
4674,5720,
4675,10280,
4676,10021,t
4677,2383,
4678,12875,
4679,16679,
4680,6393,
4681,20068,
4682,10173,
4683,18289,
4684,17885,t
4685,13494,
4686,20421,
4687,17251,
4688,12926,
4689,114,
4690,20733,
4691,3337,
4692,15568,
4693,13254,
4694,20170,
4695,20575,t
4696,10120,
4697,8398,
4698,10562,
4699,3558,f
4700,5091,
4701,9970,
4702,8014,
4703,18629,
4704,6255,t
4705,11805,
4706,11004,
4707,21138,
4708,12248,
4709,4267,c
4710,14653,
4711,5376,t
4712,17061,
4713,10358,a
4714,11808,n
4715,7649,t
4716,22853,
4717,2952,i
4718,19687,q
4719,2543,g
4720,19754,
4721,17947,
4722,15974,
4723,19260,
4724,18236,d
4725,23295,
4726,2362,
4727,16040,
4728,8252,
4729,19094,
4730,15766,
4731,18584,
4732,5795,
4733,2670,q
4734,19477,t
4735,594,
4736,5855,q
4737,22600,
4738,8812,
4739,18991,
4740,17462,t
4741,11929,
4742,1701,
4743,15849,t
4744,17541,
4745,12652,
4746,7161,
4747,15197,
4748,11646,r
4749,12842,
4750,9317,t
4751,13441,t
4752,10314,
4753,6075,
4754,6943,
4755,20567,
4756,4798,d
4757,6115,t
4758,14573,t
4759,6210,g
4760,8258,i
4761,22555,
4762,16533,
4763,21141,
4764,2796,
4765,16481,
4766,13791,h
4767,13030,
4768,14590,
4769,14938,a
4770,17922,
4771,18854,
4772,5533,
4773,18390,t
4774,11678,d
4775,18492,
4776,13876,i
4777,23421,
4778,17909,
4779,22305,
4780,17164,
4781,8842,
4782,15908,
4783,7274,
4784,17327,
4785,5594,g
4786,9488,
4787,6265,
4788,4613,
4789,10930,t
4790,20082,f
4791,16609,
4792,5254,
4793,9226,
4794,19535,
4795,23514,
4796,12122,t
4797,4229,
4798,11062,
4799,20473,b
4800,21025,
4801,4944,
4802,7064,
4803,19639,
4804,18265,t
4805,20459,g
4806,7808,
4807,10555,
4808,15079,t
4809,22210,
4810,1283,
4811,9470,
4812,22859,
4813,11958,
4814,8270,t
4815,2486,
4816,8701,
4817,947,
4818,13743,t
4819,18181,
4820,166,
4821,12833,t
4822,2373,
4823,817,
4824,9713,
4825,4342,
4826,23534,
4827,1739,g
4828,23177,t
4829,14576,
4830,9762,
4831,5233,
4832,7197,t
4833,23540,
4834,17907,
4835,932,
4836,2333,
4837,3227,
4838,15825,
4839,20865,
4840,18545,
4841,567,
4842,22242,
4843,16448,o
4844,22279,
4845,19358,
4846,17740,t
4847,6896,
4848,22595,
4849,3445,q
4850,18249,
4851,9708,
4852,6507,
4853,7887,
4854,9274,
4855,2051,
4856,20682,c
4857,14073,
4858,17281,
4859,8767,
4860,11293,
4861,3758,
4862,15465,
4863,2327,
4864,9763,
4865,15494,
4866,10790,a
4867,1878,
4868,22950,
4869,12,f
4870,22838,j
4871,13303,
4872,8397,
4873,17473,
4874,2932,
4875,12985,r
4876,8838,
4877,9882,
4878,12443,
4879,20023,
4880,17945,
4881,5983,t
4882,11257,
4883,14499,
4884,17472,
4885,18685,
4886,878,
4887,14017,
4888,13802,
4889,16023,t
4890,6476,p
4891,23557,b
4892,22873,
4893,16833,
4894,15317,
4895,8739,
4896,13392,
4897,6890,
4898,12392,
4899,8013,
4900,10423,
4901,7362,
4902,17888,
4903,8953,
4904,7484,
4905,4720,
4906,18947,
4907,1610,
4908,21200,
4909,19315,
4910,21577,f
4911,20202,c
4912,22389,
4913,15510,
4914,5864,
4915,16896,g
4916,23277,
4917,21611,
4918,20182,
4919,16599,
4920,5515,
4921,14180,t
4922,16825,
4923,17840,
4924,3475,
4925,20027,
4926,1574,
4927,10225,t
4928,12593,
4929,5580,
4930,20007,
4931,17080,t
4932,11932,
4933,15063,
4934,14306,
4935,16351,
4936,2678,
4937,22079,
4938,17674,
4939,18905,t
4940,19044,
4941,13679,
4942,14115,h
4943,866,
4944,21477,t
4945,18652,
4946,1517,
4947,12980,t
4948,10096,
4949,21705,
4950,5232,
4951,10269,
4952,21828,
4953,7859,
4954,4027,s
4955,3704,
4956,16035,
4957,15397,
4958,18154,
4959,21162,
4960,20647,
4961,5944,t
4962,5026,
4963,16908,
4964,111,
4965,861,
4966,12651,
4967,11028,
4968,900,
4969,20432,
4970,2866,
4971,3932,
4972,11001,
4973,14743,t
4974,21719,
4975,14060,t
4976,12635,
4977,10840,
4978,13490,
4979,18018,
4980,13169,d
4981,9264,s
4982,23360,
4983,11845,
4984,7506,
4985,572,t
4986,3524,
4987,18054,g
4988,18849,
4989,21985,
4990,139,f
4991,23037,
4992,8726,
4993,13280,p
4994,12146,
4995,9203,
4996,505,
4997,10377,t
4998,6815,
4999,609,
5000,2053,t
5001,17688,
5002,10385,
5003,11254,
5004,21661,
5005,19862,
5006,1137,
5007,20071,
5008,9291,
5009,10272,
5010,6297,
5011,11476,
5012,9087,
5013,18383,
5014,13595,t
5015,20334,
5016,1482,
5017,10823,
5018,8758,
5019,1131,
5020,8134,
5021,7699,
5022,7877,
5023,18650,
5024,16067,
5025,7399,
5026,23307,
5027,1796,l
5028,1566,
5029,16728,q
5030,12053,
5031,23279,
5032,21925,h
5033,14549,t
5034,23288,
5035,18981,
5036,19430,r
5037,9508,
5038,18327,
5039,16105,
5040,3512,
5041,4672,
5042,13183,
5043,20139,
5044,17732,
5045,18921,
5046,21247,
5047,15385,t
5048,3357,
5049,7940,
5050,3615,
5051,2983,b
5052,12354,
5053,15425,
5054,20130,
5055,17634,
5056,5347,
5057,17829,
5058,922,
5059,22659,
5060,16928,
5061,18915,
5062,17623,
5063,426,
5064,5507,
5065,13575,
5066,3152,g
5067,5393,
5068,11146,
5069,22831,
5070,9509,
5071,5137,t
5072,7853,
5073,21335,
5074,21871,
5075,7805,
5076,23273,
5077,17735,
5078,3247,m
5079,22296,
5080,5538,
5081,10401,
5082,21464,
5083,19876,
5084,12342,
5085,14386,g
5086,17424,h
5087,17357,
5088,4502,t
5089,11525,
5090,8623,
5091,18725,
5092,22373,t
5093,12026,
5094,20946,m
5095,18171,
5096,20638,t
5097,3116,
5098,11670,
5099,476,
5100,23153,g
5101,19632,q
5102,9665,
5103,22977,
5104,17551,
5105,23010,t
5106,5341,
5107,4777,
5108,21866,
5109,10760,
5110,13897,
5111,1974,
5112,2077,
5113,2030,
5114,2270,t
5115,19810,
5116,9709,
5117,23463,
5118,15222,
5119,18601,
5120,20355,
5121,13379,q
5122,5910,
5123,22642,
5124,11965,
5125,292,
5126,17984,t
5127,8537,i
5128,3863,
5129,22028,
5130,8084,
5131,15133,
5132,22067,
5133,6211,
5134,11877,t
5135,934,
5136,7524,
5137,20707,p
5138,16065,
5139,19977,
5140,13868,
5141,11651,
5142,9338,t
5143,15490,
5144,1827,
5145,457,
5146,4156,
5147,1888,
5148,897,
5149,8298,
5150,15289,
5151,14489,
5152,9505,
5153,13716,
5154,2345,
5155,13583,
5156,3605,
5157,11930,
5158,7027,
5159,9487,
5160,13105,
5161,21433,
5162,8490,
5163,7721,
5164,19953,
5165,6068,
5166,12123,t
5167,4087,t
5168,4201,
5169,17535,
5170,14900,
5171,22077,
5172,16850,e
5173,17518,d
5174,1332,
5175,19764,
5176,4387,
5177,9687,
5178,15337,
5179,16349,t
5180,22170,
5181,1447,t
5182,21167,
5183,1368,c
5184,11901,
5185,9586,b
5186,22558,
5187,480,
5188,283,
5189,14813,l
5190,22979,p
5191,7487,
5192,15091,
5193,21622,j
5194,11728,
5195,5884,
5196,3894,
5197,19498,
5198,2823,n
5199,13599,g
5200,13894,m
5201,13608,
5202,7397,
5203,1606,t
5204,12429,
5205,19863,i
5206,14834,e
5207,5613,a
5208,13761,j
5209,9927,
5210,17668,
5211,7448,
5212,18586,
5213,3197,
5214,7579,
5215,17590,i
5216,5315,
5217,22121,f
5218,7284,
5219,8790,
5220,14520,r
5221,20340,
5222,17724,
5223,18766,
5224,23160,t
5225,4584,
5226,8890,
5227,12050,
5228,2805,j
5229,19757,
5230,11594,
5231,13446,
5232,16008,
5233,9663,
5234,2802,
5235,3958,
5236,22832,
5237,1275,t
5238,19755,p
5239,11042,o
5240,7726,t
5241,23368,
5242,2250,
5243,8906,
5244,19314,
5245,17879,j
5246,10200,
5247,6625,
5248,7188,
5249,7731,
5250,6160,t
5251,16270,
5252,7225,
5253,20456,
5254,2530,
5255,15789,a
5256,3526,
5257,17921,
5258,1800,
5259,10297,e
5260,4812,
5261,22960,
5262,3094,
5263,12594,
5264,2047,t
5265,4283,
5266,11774,g
5267,10132,g
5268,21013,
5269,11628,g
5270,21777,
5271,6669,
5272,181,j
5273,16562,
5274,1815,
5275,11817,
5276,6939,t
5277,5684,
5278,22854,
5279,2156,f
5280,13131,
5281,6182,
5282,14482,
5283,10945,
5284,5836,
5285,19938,f
5286,11191,f
5287,19904,
5288,16674,
5289,12384,
5290,19777,t
5291,344,
5292,11889,
5293,14006,t
5294,3870,
5295,4560,q
5296,10309,
5297,23397,
5298,8961,t
5299,13367,
5300,13152,
5301,12220,
5302,3822,
5303,10663,
5304,5775,
5305,22385,t
5306,8508,
5307,10965,
5308,4152,i
5309,14336,
5310,1170,
5311,10827,n
5312,4316,
5313,3070,
5314,15173,
5315,22338,
5316,1107,
5317,21322,
5318,3803,
5319,13239,
5320,393,
5321,19597,
5322,19965,g
5323,2502,
5324,3494,
5325,23322,g
5326,10437,e
5327,16276,b
5328,20237,
5329,16181,
5330,18714,
5331,23131,
5332,7051,
5333,20695,
5334,18890,
5335,10687,
5336,18201,
5337,21261,g
5338,1628,
5339,4379,t
5340,7946,q
5341,6731,
5342,8349,
5343,137,
5344,19655,
5345,20173,
5346,2356,
5347,11133,
5348,12500,
5349,3260,
5350,22971,
5351,17396,
5352,13469,
5353,7588,h
5354,16300,
5355,17556,h
5356,16414,
5357,13400,r
5358,20428,g
5359,8351,t
5360,6336,p
5361,4068,
5362,11409,
5363,15077,
5364,8149,t
5365,5333,t
5366,9046,
5367,455,
5368,13717,
5369,22108,
5370,1558,
5371,4909,p
5372,523,
5373,7589,
5374,58,
5375,22251,
5376,1348,j
5377,15759,
5378,17992,
5379,5660,
5380,6768,
5381,6844,
5382,7633,
5383,1102,
5384,6353,d
5385,2127,e
5386,20919,
5387,12016,
5388,18662,
5389,21834,i
5390,19561,
5391,7241,
5392,2408,t
5393,22363,
5394,6451,f
5395,1310,
5396,5714,
5397,3408,c
5398,21050,
5399,1805,g
5400,21685,
5401,452,
5402,13809,
5403,600,
5404,407,t
5405,22618,
5406,21196,
5407,17563,
5408,7178,t
5409,12022,
5410,13600,
5411,3654,
5412,8195,e
5413,8464,
5414,15543,
5415,10338,
5416,8979,
5417,4887,a
5418,16916,
5419,9065,
5420,3889,
5421,15832,n
5422,21670,
5423,79,
5424,218,
5425,7059,
5426,11349,
5427,9469,l
5428,2256,
5429,12573,
5430,19478,
5431,23461,
5432,9758,
5433,2811,
5434,21786,
5435,2665,
5436,9086,
5437,16421,
5438,4750,
5439,9068,
5440,15486,
5441,320,
5442,3367,
5443,12967,t
5444,11423,
5445,19278,f
5446,13388,
5447,8447,
5448,2031,
5449,11452,
5450,8103,
5451,7728,
5452,21067,
5453,9824,
5454,10033,
5455,9360,f
5456,17597,
5457,14294,
5458,2410,
5459,20001,f
5460,4300,
5461,16942,
5462,12201,
5463,17131,
5464,19123,
5465,9043,
5466,5739,d
5467,14315,d
5468,13823,q
5469,6125,l
5470,2660,
5471,15754,
5472,1690,
5473,8056,
5474,11665,
5475,21727,
5476,21336,
5477,15526,t
5478,10129,
5479,11983,t
5480,13157,
5481,4667,
5482,6564,
5483,11782,
5484,4476,
5485,13893,
5486,3103,
5487,12627,
5488,19175,
5489,1964,
5490,23441,
5491,4029,
5492,3196,t
5493,17599,
5494,22019,
5495,9650,e
5496,6930,h
5497,16842,
5498,5595,
5499,12944,
5500,7810,
5501,20511,
5502,12722,t
5503,16859,
5504,1764,
5505,1576,n
5506,17950,
5507,5995,
5508,9555,
5509,19499,b
5510,3484,
5511,20661,
5512,20388,
5513,4386,
5514,15403,
5515,3401,
5516,10114,
5517,20226,
5518,1327,
5519,8920,
5520,22890,
5521,16180,
5522,19087,g
5523,12962,
5524,5707,
5525,12915,
5526,22378,
5527,5635,t
5528,315,
5529,402,
5530,10281,
5531,21430,
5532,16393,
5533,14797,g
5534,9289,
5535,6816,
5536,2786,t
5537,14429,
5538,18326,
5539,6688,j
5540,6620,t
5541,23563,j
5542,13323,
5543,23181,
5544,1295,
5545,3944,
5546,13140,
5547,6515,
5548,10680,
5549,22688,c
5550,20207,
5551,7294,p
5552,22274,t
5553,22507,
5554,13178,i
5555,13917,
5556,22248,m
5557,15242,
5558,5041,
5559,19969,
5560,14159,
5561,19379,
5562,9959,t
5563,1352,t
5564,6405,e
5565,3902,
